scenario,class,param,scale,total_kgCO2,base_total_kgCO2,pct_change
A,truck,fuel_eff_l_per_km,0.8,3298998.36,3332578.2,-1.0076234670202282
A,truck,fuel_eff_l_per_km,1.2,3366158.04,3332578.2,1.0076234670202142
A,truck,km_day_min,0.8,3324183.24,3332578.2,-0.25190586675505355
A,truck,km_day_min,1.2,3340973.16,3332578.2,0.25190586675505355
A,truck,km_day_max,0.8,3307393.32,3332578.2,-0.7557176002651746
A,truck,km_day_max,1.2,3357763.08,3332578.2,0.7557176002651607
A,truck,idle_l_per_hr,0.8,3324688.2,3332578.2,-0.23675363416828446
A,truck,idle_l_per_hr,1.2,3340468.2,3332578.2,0.23675363416828446
A,truck,duty_cycle,0.8,3298998.36,3332578.2,-1.0076234670202282
A,truck,duty_cycle,1.2,3366158.04,3332578.2,1.0076234670202142
A,tank,fuel_eff_l_per_km,0.8,3055639.2,3332578.2,-8.310052559306785
A,tank,fuel_eff_l_per_km,1.2,3609517.2,3332578.2,8.310052559306785
A,tank,km_day_min,0.8,3247366.2,3332578.2,-2.5569392490174723
A,tank,km_day_min,1.2,3417790.2,3332578.2,2.5569392490174723
A,tank,km_day_max,0.8,3140851.2,3332578.2,-5.753113310289312
A,tank,km_day_max,1.2,3524305.2,3332578.2,5.753113310289312
A,tank,idle_l_per_hr,0.8,3269458.2,3332578.2,-1.8940290733462757
A,tank,idle_l_per_hr,1.2,3395698.2,3332578.2,1.8940290733462757
A,tank,duty_cycle,0.8,3055639.2,3332578.2,-8.310052559306785
A,tank,duty_cycle,1.2,3609517.2,3332578.2,8.310052559306785
A,aircraft,fuel_eff_l_per_hr,0.8,3047591.4,3332578.2,-8.551541266158443
A,aircraft,fuel_eff_l_per_hr,1.2,3617565,3332578.2,8.551541266158429
A,aircraft,hr_day_min,0.8,3251153.4,3332578.2,-2.4432975046167043
A,aircraft,hr_day_min,1.2,3414003,3332578.2,2.44329750461669
A,aircraft,hr_day_max,0.8,3129016.2,3332578.2,-6.10824376154174
A,aircraft,hr_day_max,1.2,3536140.2,3332578.2,6.10824376154174
A,aircraft,duty_cycle,0.8,3047591.4,3332578.2,-8.551541266158443
A,aircraft,duty_cycle,1.2,3617564.9999999995,3332578.2,8.551541266158415
B,truck,fuel_eff_l_per_km,0.8,2500954.4475,2536033.3875,-1.3832207483112406
B,truck,fuel_eff_l_per_km,1.2,2571112.3275,2536033.3875,1.3832207483112224
B,truck,km_day_min,0.8,2527263.6525,2536033.3875,-0.3458051870778194
B,truck,km_day_min,1.2,2544803.1225,2536033.3875,0.345805187077801
B,truck,km_day_max,0.8,2509724.1825,2536033.3875,-1.0374155612334213
B,truck,km_day_max,1.2,2562342.5925000003,2536033.3875,1.0374155612334213
B,truck,idle_l_per_hr,0.8,2527157.1375,2536033.3875,-0.35000525007875116
B,truck,idle_l_per_hr,1.2,2544909.6375,2536033.3875,0.35000525007875116
B,truck,duty_cycle,0.8,2500954.4475,2536033.3875,-1.3832207483112406
B,truck,duty_cycle,1.2,2571112.3275,2536033.3875,1.3832207483112224
B,tank,fuel_eff_l_per_km,0.8,2421796.0500000003,2536033.3875,-4.504567568513524
B,tank,fuel_eff_l_per_km,1.2,2650270.725,2536033.3875,4.504567568513524
B,tank,km_day_min,0.8,2500883.4375,2536033.3875,-1.386020790311862
B,tank,km_day_min,1.2,2571183.3375,2536033.3875,1.3860207903118436
B,tank,km_day_max,0.8,2456946,2536033.3875,-3.1185467782016802
B,tank,km_day_max,1.2,2615120.775,2536033.3875,3.1185467782016616
B,tank,idle_l_per_hr,0.8,2507629.3875,2536033.3875,-1.1200168002520037
B,tank,idle_l_per_hr,1.2,2564437.3875,2536033.3875,1.1200168002520037
B,tank,duty_cycle,0.8,2421796.0500000003,2536033.3875,-4.504567568513524
B,tank,duty_cycle,1.2,2650270.7249999996,2536033.3875,4.504567568513505
B,aircraft,fuel_eff_l_per_hr,0.8,2215423.2375,2536033.3875,-12.642189632844506
B,aircraft,fuel_eff_l_per_hr,1.2,2856643.5375,2536033.3875,12.642189632844488
B,aircraft,hr_day_min,0.8,2444430.4875,2536033.3875,-3.6120541808127267
B,aircraft,hr_day_min,1.2,2627636.2875,2536033.3875,3.6120541808127085
B,aircraft,hr_day_max,0.8,2307026.1375,2536033.3875,-9.03013545203178
B,aircraft,hr_day_max,1.2,2765040.6375,2536033.3875,9.03013545203178
B,aircraft,duty_cycle,0.8,2215423.2375,2536033.3875,-12.642189632844506
B,aircraft,duty_cycle,1.2,2856643.5375,2536033.3875,12.642189632844488
C,truck,fuel_eff_l_per_km,0.8,827795.13,856577.85,-3.3601989591488937
C,truck,fuel_eff_l_per_km,1.2,885360.57,856577.85,3.3601989591488937
C,truck,km_day_min,0.8,849382.1699999999,856577.85,-0.8400497397872303
C,truck,km_day_min,1.2,863773.53,856577.85,0.8400497397872303
C,truck,km_day_max,0.8,834990.8099999999,856577.85,-2.5201492193616772
C,truck,km_day_max,1.2,878164.89,856577.85,2.5201492193616772
C,truck,idle_l_per_hr,0.8,848687.85,856577.85,-0.9211071708193248
C,truck,idle_l_per_hr,1.2,864467.85,856577.85,0.9211071708193248
C,truck,duty_cycle,0.8,827795.13,856577.85,-3.3601989591488937
C,truck,duty_cycle,1.2,885360.57,856577.85,3.3601989591488937
C,tank,fuel_eff_l_per_km,0.8,805805.7000000001,856577.85,-5.927324644222344
C,tank,fuel_eff_l_per_km,1.2,907350,856577.85,5.927324644222358
C,tank,km_day_min,0.8,840955.65,856577.85,-1.8237921982222578
C,tank,km_day_min,1.2,872200.05,856577.85,1.8237921982222713
C,tank,km_day_max,0.8,821427.9,856577.85,-4.103532446000087
C,tank,km_day_max,1.2,891727.8,856577.85,4.1035324460001
C,tank,idle_l_per_hr,0.8,843953.85,856577.85,-1.4737714733109197
C,tank,idle_l_per_hr,1.2,869201.85,856577.85,1.4737714733109197
C,tank,duty_cycle,0.8,805805.7000000001,856577.85,-5.927324644222344
C,tank,duty_cycle,1.2,907350,856577.85,5.927324644222358
C,aircraft,fuel_eff_l_per_hr,0.8,785331.15,856577.85,-8.317597752498498
C,aircraft,fuel_eff_l_per_hr,1.2,927824.55,856577.85,8.317597752498513
C,aircraft,hr_day_min,0.8,836221.65,856577.85,-2.3764565007138527
C,aircraft,hr_day_min,1.2,876934.05,856577.85,2.3764565007138665
C,aircraft,hr_day_max,0.8,805687.35,856577.85,-5.941141251784646
C,aircraft,hr_day_max,1.2,907468.35,856577.85,5.941141251784646
C,aircraft,duty_cycle,0.8,785331.1499999999,856577.85,-8.317597752498513
C,aircraft,duty_cycle,1.2,927824.5499999999,856577.85,8.317597752498498
